Adanto Vanguard                         W U 2 Y
Ashes of the Abhorrent                  W R 2 N
Axis of Mortality                       W M 6 N
Bellowing Aegisaur                      W U 6 Y
Bishop of Rebirth                       W R 5 Y
Bishop's Soldier                        W C 2 Y
Bright Reprisal                         W U 5 N
Demystify                               W C 1 Y
Duskborne Skymarcher                    W U 1 Y
Emissary of Sunrise                     W U 3 Y
Encampment Keeper                       W C 1 Y
Glorifier of Dusk                       W U 5 Y
Goring Ceratops                         W R 7 Y
Imperial Aerosaur                       W U 4 Y
Imperial Lancer                         W U 1 Y
Inspiring Cleric                        W U 3 Y
Ixalan's Binding                        W U 4 N
Kinjalli's Caller                       W U 1 Y
Kinjalli's Sunwing                      W R 3 Y
Legion Conquistador                     W C 3 Y
Legion's Judgment                       W C 3 N
Looming Altisaur                        W C 4 Y
Mavren Fein, Dusk Apostle               W R 3 Y
Paladin of the Bloodstained             W C 4 Y
Pious Interdiction                      W C 4 N
Priest of the Wakening Sun              W R 1 Y
Pterodon Knight                         W C 4 Y
Queen's Commission                      W C 3 N
Rallying Roar                           W U 3 N
Raptor Companion                        W C 2 Y
Ritual of Rejuvenation                  W C 3 N
Sanguine Sacrament                      W R X N
Settle the Wreckage                     W R 4 N
Sheltering Light                        W U 1 N
Shining Aerosaur                        W C 5 Y
Skyblade of the Legion                  W C 2 Y
Slash of Talons                         W C 2 N
Steadfast Armasaur                      W U 4 Y
Sunrise Seeker                          W C 5 Y
Territorial Hammerskull                 W C 3 Y
Tocatli Honor Guard                     W R 2 Y
Vampire's Zeal                          W C 1 N
Wakening Sun's Avatar                   W M 8 Y
Air Elemental                           U U 5 Y
Arcane Adaptation                       U R 3 N
Cancel                                  U C 3 N
Chart a Course                          U U 2 N
Daring Saboteur                         U R 2 Y
Deadeye Quartermaster                   U U 4 Y
Deeproot Waters                         U U 3 N
Depths of Desire                        U C 3 N
Dive Down                               U C 1 N
Dreamcaller Siren                       U R 4 Y
Entrancing Melody                       U R X N
Favorable Winds                         U U 2 N
Fleet Swallower                         U R 7 Y
Headwater Sentries                      U C 4 Y
Herald of Secret Streams                U R 4 Y
Jace, Cunning Castaway                  U M 3 N
Kopala, Warden of Waves                 U R 3 Y
Lookout's Dispersal                     U U 3 N
Navigator's Ruin                        U U 3 N
One With the Wind                       U C 2 N
Opt                                     U C 1 N
Overflowing Insight                     U M 7 N
Perilous Voyage                         U U 2 N
Pirate's Prize                          U C 4 N
Prosperous Pirates                      U C 5 Y
River Sneak                             U U 2 Y
River's Rebuke                          U R 6 N
Run Aground                             U C 4 N
Sailor of Means                         U C 3 Y
Shaper Apprentice                       U C 2 Y
Shipwreck Looter                        U C 2 Y
Shore Keeper                            U C 1 Y
Siren Lookout                           U C 3 Y
Siren Stormtamer                        U U 1 Y
Siren's Ruse                            U C 2 N
Spell Pierce                            U C 1 N
Spell Swindle                           U R 5 N
Storm Fleet Aerialist                   U U 2 Y
Storm Fleet Spy                         U U 3 Y
Storm Sculptor                          U C 4 Y
Tempest Caller                          U U 4 Y
Watertrap Weaver                        U C 3 Y
Wind Strider                            U C 5 Y
Anointed Deacon                         B C 5 Y
Bishop of the Bloodstained              B U 5 Y
Blight Keeper                           B C 1 Y
Bloodcrazed Paladin                     B R 2 Y
Boneyard Parley                         B M 7 N
Contract Killing                        B C 5 N
Costly Plunder                          B C 2 N
Dark Nourishment                        B U 5 N
Deadeye Tormentor                       B C 3 Y
Deadeye Tracker                         B R 1 Y
Deathless Ancient                       B U 6 Y
Desperate Castaways                     B C 2 Y
Dire Fleet Hoarder                      B C 2 Y
Dire Fleet Interloper                   B C 4 Y
Dire Fleet Ravager                      B M 5 Y
Duress                                  B C 1 N
Fathom Fleet Captain                    B R 2 Y
Fathom Fleet Cutthroat                  B C 4 Y
Grim Captain's Call                     B U 3 N
Heartless Pillage                       B U 3 N
Kitesail Freebooter                     B U 2 Y
Lurking Chupacabra                      B U 4 Y
March of the Drowned                    B C 1 N
Mark of the Vampire                     B C 4 N
Queen's Agent                           B C 6 Y
Queen's Bay Soldier                     B C 2 N
Raiders' Wake                           B U 4 N
Revel in Riches                         B R 5 N
Ruin Raider                             B R 3 Y
Ruthless Knave                          B U 3 Y
Sanctum Seeker                          B R 4 Y
Seekers' Squire                         B U 2 Y
Skittering Heartstopper                 B C 1 Y
Skulduggery                             B C 1 N
Skymarch Bloodletter                    B C 3 Y
Spreading Rot                           B C 5 N
Sword-Point Diplomacy                   B R 3 N
Vanquish the Weak                       B C 3 N
Vicious Conquistador                    B U 1 Y
Vraska's Contempt                       B R 4 N
Walk the Plank                          B U 2 N
Wanted Scoundrels                       B U 2 Y
Angrath's Marauders                     R R 7 Y
Bonded Horncrest                        R C 4 Y
Brazen Buccaneers                       R C 4 Y
Burning Sun's Avatar                    R R 6 Y
Captain Lannery Storm                   R R 3 Y
Captivating Crew                        R R 4 Y
Charging Monstrosaur                    R U 5 Y
Demolish                                R C 4 N
Dinosaur Stampede                       R U 3 N
